configuracion,tablero_indice,repeticion,estado_inicial,estado_final,h_inicial,h_final,evaluaciones,resuelto,truncada,longitud_solucion,longitud_optima
temple_actividad_sin_tope,16,3,4-5-0-1-2-7-8-3-6,1-2-3-4-5-6-7-8-0,12,0,7259,True,False,5972.0,22
temple_actividad_sin_tope,17,3,5-1-2-6-4-7-3-0-8,1-2-3-4-5-6-7-8-0,15,0,9039,True,False,6831.0,23
temple_actividad_sin_tope,18,3,5-1-7-8-6-3-2-4-0,1-2-3-4-5-6-7-8-0,16,0,7294,True,False,5982.0,24
temple_actividad_sin_tope,19,3,6-0-1-8-4-7-3-2-5,1-2-3-4-5-6-7-8-0,19,0,6030,True,False,5171.0,27
temple_actividad_sin_tope,20,3,6-3-7-5-1-4-8-2-0,1-2-3-4-5-6-7-8-0,16,0,5686,True,False,4950.0,24
temple_actividad_sin_tope,21,3,6-8-2-3-1-5-4-0-7,1-2-3-7-8-6-4-5-0,15,4,17401,False,False,,21
temple_actividad_sin_tope,22,3,7-0-8-6-3-2-1-4-5,4-5-3-1-2-6-7-8-0,17,4,17401,False,False,,23
temple_actividad_sin_tope,23,3,7-1-8-2-0-3-5-4-6,1-2-3-4-5-6-7-8-0,14,0,6661,True,False,5672.0,22
temple_actividad_sin_tope,24,3,7-3-2-1-0-6-8-5-4,1-0-3-4-5-6-7-8-2,10,3,17401,False,False,,22
temple_actividad_sin_tope,25,3,7-8-3-4-1-2-0-5-6,1-2-3-4-5-6-7-8-0,10,0,8099,True,False,6332.0,22
temple_actividad_sin_tope,26,3,8-1-2-3-6-0-7-5-4,1-2-3-0-4-6-7-5-8,13,3,17401,False,False,,23
temple_actividad_sin_tope,27,3,8-1-7-3-0-2-6-5-4,1-2-3-4-5-6-7-8-0,20,0,8908,True,False,6810.0,22
temple_actividad_sin_tope,28,3,8-4-1-3-5-7-0-2-6,1-2-3-4-5-6-7-8-0,16,0,7672,True,False,6208.0,26
temple_actividad_sin_tope,29,3,8-6-4-5-0-3-7-1-2,1-2-3-4-5-6-7-8-0,16,0,8886,True,False,6732.0,26
temple_actividad_sin_tope,0,4,0-1-6-3-4-7-8-2-5,1-0-3-4-5-6-7-8-2,14,3,17401,False,False,,22
temple_actividad_sin_tope,1,4,0-6-7-8-4-3-1-2-5,2-4-3-1-5-6-7-8-0,16,4,17401,False,False,,28
temple_actividad_sin_tope,2,4,1-0-3-2-7-4-8-5-6,1-2-3-4-5-6-7-8-0,9,0,2825,True,False,2595.0,21
temple_actividad_sin_tope,3,4,1-6-8-3-5-0-4-7-2,1-2-3-4-5-6-7-8-0,13,0,9004,True,False,6833.0,17
temple_actividad_sin_tope,4,4,1-7-4-8-2-3-0-6-5,1-2-3-4-5-6-7-8-0,14,0,10239,True,False,7140.0,20
temple_actividad_sin_tope,5,4,2-3-1-7-4-5-8-6-0,1-2-3-4-5-6-7-8-0,10,0,6771,True,False,5614.0,16
temple_actividad_sin_tope,6,4,2-7-1-6-4-8-0-3-5,2-3-1-4-5-6-7-8-0,16,4,17401,False,False,,26
temple_actividad_sin_tope,7,4,2-8-4-6-1-3-0-5-7,1-2-3-4-5-6-7-8-0,14,0,6700,True,False,5586.0,22
temple_actividad_sin_tope,8,4,2-8-7-6-3-1-5-0-4,1-2-3-4-5-6-7-8-0,19,0,6052,True,False,5213.0,25
